gsymb	XX_over_XY_log2FC	q_value
CRB1	-2.07736	1
PDZK1IP1	-2.15822	1
COL24A1	-2.33328	1
AIM2	-2.83554	0.000867966
LOC100505795	-2.75947	1
ASTN1	-3.62425	0.000867966
SEC16B	-2.3645	1
LOC100527964	-2.40793	1
CHI3L1	-2.62651	0.000867966
ARMC3	-3.10706	0.000867966
HSD17B7P2	-3.0257	0.0129288
IL15RA	-2.0441	1
KCNMA1	-4.33034	1
SFRP5	-2.52262	1
CRTAC1	-2.44222	1
TRIM22	-2.33855	0.000867966
OR10A4	-2.79389	0.000867966
SYT9	-2.82162	1
GLYATL1	-2.27619	1
KDM4D	-2.35092	1
C11orf93	-2.62215	1
NTM	-2.09954	1
OSBPL5	-2.2436	1
OR56A4	-2.04135	1
LOC100126784	-2.37404	1
GLYATL2	-2.04213	1
NRXN2	-2.22686	1
BATF2	-2.77131	0.000867966
CD248	-2.25195	1
MMP7	-2.14217	1
LOC100288778	-2.31922	1
IQSEC3	-2.06958	1
CACNA1C	-2.76892	1
PRMT8	-2.16827	1
PRH2	-2.09698	1
C12orf60	-2.47142	1
PTPRO	-2.24651	1
PDE1B	-2.3443	1
KIF5A	-2.01825	1
ARHGEF25	-2.23627	0.00986359
GLIPR1L1	-2.02803	1
PZP	-2.59051	1
TAS2R13	-2.25846	1
TAS2R14	-2.23447	1
TAS2R50	-2.40972	1
SLC38A4	-2.14388	1
SLC6A15	-2.12925	0.000867966
SERPINA5	-2.19835	1
CYP46A1	-2.11018	1
TRIM9	-3.75181	0.000867966
RTN1	-2.33158	1
SERPINA1	-2.77824	1
CAPN3	-2.3423	1
GLDN	-3.34483	1
LIPC	-3.09372	0.000867966
-	-2.21684	0.00340977
CYP19A1	-2.37443	1
RASGRF1	-3.19453	1
WFIKKN1	-2.39081	1
PRKCB	-2.24002	1
SLC6A2	-3.61574	0.000867966
CPNE7	-2.0302	1
CBLN1	-2.60229	1
ABCC3	-2.04209	1
NLRP1	-2.40842	1
TTLL6	-3.09764	0.000867966
MOCOS	-2.07462	1
FBXO15	-2.47777	1
ACSBG2	-2.57042	1
ZNF441	-3.07377	1
ZNF583	-2.06436	1
MUC16	-3.87635	1
CACNA1A	-3.73745	1
HAPLN4	-2.2451	1
PSG6	-2.23448	1
NOVA2	-2.33215	1
RASIP1	-2.29804	1
HRC	-2.14079	1
ZNF416	-2.36963	1
CTNNA2	-2.7553	1
DNAH6	-2.08549	1
SULT1C4	-2.21881	1
IL37	-2.14808	0.000867966
FAM49A	-2.18731	1
LOC100132215	-2.43699	1
LOXL3	-2.18468	0.0413744
-	-2.37818	0.00340977
CALCRL	-2.24978	1
TMEFF2	-3.85121	0.000867966
SP110	-3.42634	0.000867966
MMP9	-2.36522	1
RSPO4	-3.13223	1
PDYN	-2.47686	1
MLLT10P1	-2.24077	1
MROH8	-2.54129	1
TGM2	-2.75675	1
RIMS4	-2.30165	1
KCNB1	-2.51922	1
PCBP3	-2.0061	1
KCNE1	-2.61168	1
MFNG	-3.08556	0.000867966
GAP43	-2.15587	0.000867966
PLA1A	-2.13133	1
EPHB1	-2.42783	1
DAZL	-2.18834	1
SCN5A	-2.73884	1
PRSS46	-2.46804	0.000867966
PVRL3-AS1	-2.69072	0.000867966
MYLK	-2.44836	0.000867966
CPNE4	-2.31584	1
TMEM14E	-2.65139	1
UGT2B7	-2.91794	0.000867966
AFP	-2.8233	0.000867966
MTTP	-2.04351	1
CCDC109B	-2.31084	1
KCNIP4-IT1	-3.03545	1
CFI	-3.56201	1
TMEM155	-2.34091	1
GYPE	-2.09815	1
RNF175	-3.55512	0.000867966
SNCAIP	-2.24038	1
JAKMIP2-AS1	-2.47615	1
ABLIM3	-2.16198	1
GRIA1	-2.57914	1
TERT	-2.03155	1
DNAH5	-2.56037	0.0209618
FGF1	-2.03615	0.000867966
FNDC9	-2.28107	1
PSMB9	-2.52553	1
RUNX2	-2.19311	0.00903869
GRIK2	-3.43504	0.000867966
PSMB8	-2.28141	1
MYH16	-2.14251	1
LRRN3	-2.62792	1
MET	-2.34223	0.000867966
NPSR1-AS1	-3.07749	1
PON3	-2.0811	1
CTTNBP2	-2.13588	0.000867966
PREX2	-2.42896	0.000867966
C8orf34	-2.86211	1
KCNS2	-2.29518	1
LOC392232	-2.51931	1
ADAMTSL1	-2.26276	1
AQP7P3	-2.51931	1
FGD3	-2.16885	1
PRRX2	-2.01217	1
TRPM3	-2.17105	1
FRRS1L	-2.27251	1
SH2D3C	-2.55724	0.0154481
PPEF1	-3.29959	0.000867966
CYBB	-3.2398	1
RGN	-2.69715	0.000867966
LOC100133957	-2.07736	1
ZXDA	-3.11166	1
APLN	-3.62687	0.000867966
